name	is_comedogenic	common_names
Mink Oil	yes	
Monostearate	yes	
Moringa Oil	yes	
Moringa Oleifera Seed Oil	yes	
Moss	yes	
Myreth-3 Myristate	yes	
Myristate	yes	
Myristic Acid	yes	
Myristyl	yes	
Myristyl Alcohol	yes	
Myristyl Lactate	yes	
Myristyl Propianate	yes	
Myristyl Propionate	yes	
N-hexadecyl Ethanoate	yes	
Norwegian Kelp	yes	
Octadecyl Heptanoate	yes	
Olea Europaea Fruit Oil	yes	
Oleth 3	yes	
Oleth-3	yes	
Olive Butter	yes	
Olive Oil Peg-7 Esters	yes	
Padina Pavonica	yes	
Palash Oil	yes	
Palm Butter	yes	
Palm Kernel Oil	yes	
Palm Oil	yes	
Palmaria Palmata	yes	
Palmaria palmata Extract	yes	
Palmitic Acid	yes	
Palmityl Acetate	yes	
Palmityl Alcohol	yes	
Papaya Seed Oil	yes	
Parkii	yes	
Parkii Butter	yes	
Parkii Oil	yes	
Peanut Oil	yes	
PEG 16 Lanolin	yes	
PEG-16 Lanolin	yes	
PEG-40 Hydrogenated Castor Oil	yes	
Pelvetia Canaliculata Extract	yes	
Pequot Oil	yes	
PG Monostearate	yes	
Phaeodactylum Tricornutum Extract	yes	
Phaeophyceae	yes	
Phytessence Wakame	yes	
Pilu Oil	yes	
Pine Nut Oil	yes	
Plankton	yes	
Plankton Extract	yes	
Polyglyceryl-Diisostearate	yes	
Polysiphonia Elongata Extract	yes	
Porphyra	yes	
Porphyra Umbilicalis	yes	
Porphyridium	yes	
Porphyridium Cruentum	yes	
Porphyridium Cruentum Extract	yes	
Potassium Chloride	yes	
Pouteria Sapota Seed Butter	yes	
PPG 2 Myristyl Ether Propionate	yes	
PPG 2 Myristyl Propionate	yes	
PPG-2 Myristyl	yes	
PPG-2 Myristyl Propionate	yes	
Propylene Glycol Monostearate	yes	
Pyrene Coal Tar Pitch	yes	
Rapeseed Oil	yes	
Red Algae	yes	
Red Palm Oil	yes	
Rhodophyceae Extract	yes	
Rhodophyta	yes	
Rockweed	yes	
Sargassum	yes	
Sargassum Filipendula Extract	yes	
Sargassum Fusiforme Extract	yes	
Sclerocarya Birrea	yes	
Sclerocarya Birrea Seed Oil	yes	
Sea Fern	yes	
Sea Grass	yes	
Seaweed	yes	
Sesame Oil	yes	
Sesame Seed	yes	
Sesamum Indicum	yes	
Shark Liver Oil	yes	
Shark Squalene	yes	
Shea	yes	
Shea Nut Oil	yes	
Sheep Alcohol	yes	
SLES	yes	
SLO	yes	
SLS	yes	
Sodium Alginate	yes	
Sodium Dodecyl Sulfate	yes	
Sodium Laureth Sulfate	yes	
Sodium Lauryl Ether Sulfate	yes	
Sodium Lauryl Sulfate	yes	
Solulan 16	yes	
Sorbitan Oleate	yes	
Soybean	yes	
Soybean Oil	yes	
Sphacelaria	yes	
Spirulina	yes	
Squalene	yes	
Steareth 10	yes	
Steareth-10	yes	
Stearic Acid Tea	yes	
Stearyl Heptanoate	yes	
Sulfated Castor Oil	yes	
Sulfated Jojoba Oil	yes	
Sunflower Butter	yes	
Sweet Almond Butter	yes	
Sweet Almond Oil	yes	
Tallow	yes	
Tetradecyl Myristate	yes	
Theobroma Butter	yes	
Theobroma Cocoa Seed Butter	yes	
Theobroma Oil	yes	
Triticum Aestivum	yes	
Triticum Vulgare	yes	
Tucuma Butter	yes	
Turkey Red Oil	yes	
Ulva Fasciata	yes	
Ulva Lactuca	yes	
Ulva Rhacodes	yes	
Undaria	yes	
Undaria Pinnatifida	yes	
Vitamin E Oil	yes	
Vitellaria paradoxa	yes	
Wakame	yes	
Wheat Germ Acid	yes	
Wheat Germ Glyceride	yes	
Wheat Germ Oil	yes	
Wool Alcohol	yes	
Wool Fat	yes	
Xanthophyta	yes	
Xylene	yes	
Zea Mays (Corn) Oil	yes	
